Αἰσχύλε	*ai)sxu/los	none-found	n-s---mv-
Αἰσχύλον	*ai)sxu/los	none-found	n-s---ma-
Αἰσχύλος	*ai)sxu/los	none-found	n-s---mn-
Αἰσχύλου	*ai)sxu/los	none-found	n-s---mg-
Βελλεροφόντας	*bellerofo/nths	none-found	n-s---mn-
Γοργόνες	*gorgo/nes	none-found	n-p---fn-
Γοργόνες	*gorgo/nes	none-found	n-p---fv-
Γοργόνες	*gorgw/n	none-found	n-p---fn-
Γοργόνες	*gorgw/n	none-found	n-p---fv-
Διαγόρας	*diago/ras	none-found	n-p---ma-
Διαγόρας	*diago/ras	none-found	n-s---mn-
Διτύλας	*ditu/lhs	none-found	n-p---ma-
Διτύλας	*ditu/lhs	none-found	n-s---mn-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Θηβαίους	*qhbai=os	none-found	a-p---ma-
Θηραμένης	*qhrame/nhs	none-found	n-p---ma-
Θηραμένης	*qhrame/nhs	none-found	n-p---mn-
Θηραμένης	*qhrame/nhs	none-found	n-p---mv-
Θηραμένης	*qhrame/nhs	none-found	n-s---mn-
Θηραμένους	*qhrame/nhs	none-found	n-s---mg-
Θρῃκία	*qra|ki/a	none-found	n-d---fn-
Θρῃκία	*qra|ki/a	none-found	n-d---fv-
Θρῃκία	*qra|ki/a	none-found	n-d---fa-
Θρῃκία	*qra|ki/a	none-found	n-s---fn-
Θρῃκία	*qra|ki/a	none-found	n-s---fv-
Θρῃκία	*qra|ki/a	none-found	n-d---fn-
Θρῃκία	*qra|ki/a	none-found	n-d---fv-
Θρῃκία	*qra|ki/a	none-found	n-d---fa-
Θρῃκία	*qra|ki/a	none-found	n-s---fn-
Θρῃκία	*qra|ki/a	none-found	n-s---fv-
Θρῃκία	*qrh/|kios	none-found	a-d---fn-
Θρῃκία	*qrh/|kios	none-found	a-d---fv-
Θρῃκία	*qrh/|kios	none-found	a-d---fa-
Θρῃκία	*qrh/|kios	none-found	a-s---fn-
Θρῃκία	*qrh/|kios	none-found	a-s---fv-
Θωρυκίων	*qwruki/wn	none-found	n-s---mn-
Θωρυκίων	*qwruki/wn	none-found	n-s---mv-
Θήβας	*qh/bh	none-found	n-s---fg-
Καλλίαν	kalli/a	none-found	n-s---fa-
Κεραμῆς	*keramei=s	none-found	n-p---mn-
Κεραμῆς	*keramei=s	none-found	n-p---mn-
Κεραμῆς	*keramei=s	none-found	n-p---mv-
Κεῖος	*kei=os	none-found	n-s---mn-
Κηφισοφῶν	*khfisofw=n	none-found	n-s---mn-
Κηφισοφῶντα	*khfisofw=n	none-found	n-s---ma-
Κιμωλίας	*kimw/lios	none-found	a-p---fa-
Κιμωλίας	*kimw/lios	none-found	a-s---fg-
Κιμωλίας	*kimwli/a	none-found	n-p---fa-
Κιμωλίας	*kimwli/a	none-found	n-s---fg-
Κινησίου	*kinhsi/as	none-found	n-s---mg-
Κινησίᾳ	*kinhsi/as	none-found	n-s---md-
Κλειγένης	*kleige/nhs	none-found	n-s---mn-
Κλειδημίδης	*kleidhmi/dhs	none-found	n-s---mn-
Κλεισθένει	*kleisqe/nhs	none-found	n-d---mn-
Κλεισθένει	*kleisqe/nhs	none-found	n-d---mv-
Κλεισθένει	*kleisqe/nhs	none-found	n-d---ma-
Κλεισθένει	*kleisqe/nhs	none-found	n-s---md-
Κλεισθένει	*kleisqe/nhs	none-found	n-s---md-
Κλεισθένους	*kleisqe/nhs	none-found	n-s---mg-
Κλειτοφῶν	*kleitofw=n	none-found	n-s---mn-
Κλειτοφῶν	*kleitofw=n	none-found	n-s---mv-
Κλεοφῶν	*kleofw=n	none-found	n-s---mn-
Κλεοφῶντι	*kleofw=n	none-found	n-s---md-
Κλεοφῶντος	*kleofw=n	none-found	n-s---mg-
Κλεόκριτον	*kleo/kritos	none-found	n-s---ma-
Κλέωνά	*kle/wn	none-found	n-s---ma-
Κλέωνά	*klew/nhs	none-found	n-s---mv-
